Auction Lot No,Lot Name,Lot ID,Doc No,Auction Block,Weight,Max Time,Event No
101,Premium MB 17CT,1387023,1000597,VHE,17.54,120,86D
102,Premium Z 61CT,1387030,1000597,VHE,61.74,120,86D
103,Premium Z 51CT,1387028,1000597,VHE,50.89,120,86D
104,Premium MB 17CT,1387033,1000597,VHE,17.15,120,86D
105,Premium Z 21CT,1387035,1000597,VHE,21.78,120,86D
106,Premium Z 41CT,1387037,1000597,VHE,40.81,120,86D
107,Premium Clivage 57CT,1387034,1000597,VHE,56.99,120,86D
108,Premium Z 19CT,1387036,1000597,VHE,19.57,120,86D
109,Premium Fancy Yellow 33CT,1387031,1000597,VHE,33.73,120,86D
110,Premium Fancy Yellow 11CT,1387024,1000597,VHE,10.98,120,86D
111,Premium Fancy Yellow 13CT,1387025,1000597,VHE,13.18,120,86D
112,Premium Fancy Yellow 25CT,1387029,1000597,VHE,25.05,120,86D
113,Premium Z 16CT,1387032,1000597,VHE,15.87,120,86D
114,Premium Z 19CT,1376870,1000597,VHE,19.08,120,86D
115,Premium Z 11CT,1387027,1000597,VHE,11.31,120,86D
116,Premium MB 12CT,1387026,1000597,VHE,12.08,120,86D
117,Standard MB & Clivage +10.8CT,1387745,1000597,VHE,281.72,120,86D
118,Standard MB & Clivage +10.8CT,1387747,1000597,VHE,289.32,120,86D
203C,Premium Z 5-10CT,1387638,1000598,HE 5-10CT,70.94,120,85D
203D,Premium Z 5-10CT,1387640,1000598,HE 5-10CT,60.43,120,85D
203B,Premium Z 5-10CT,1387642,1000598,HE 5-10CT,68.13,120,85D
203A,Premium Z 5-10CT,1387644,1000598,HE 5-10CT,70.91,120,85D
204,Premium MB 5-10CT,1387358,1000598,HE 5-10CT,5.83,120,85D
206A,Premium Z 2.5-4CT,1388661,1000599,HE +2CT,86.74,90,85D
206B,Premium Z 2.5-4CT,1388662,1000599,HE +2CT,92.11,90,85D
206C,Premium Z 2.5-4CT,1388663,1000599,HE +2CT,91.59,90,85D
206D,Premium Z 2.5-4CT,1388664,1000599,HE +2CT,91.71,90,85D
207A,Premium MB 2.5-4CT,1388667,1000599,HE +2CT,97.88,90,85D
207B,Premium MB 2.5-4CT,1388668,1000599,HE +2CT,99.1,90,85D
307,Premium Z 8GR,1387652,1000601,HE GR+SM,112.63,60,77D
308A,Premium Z 5-6GR,1387873,1000601,HE GR+SM,228.05,60,77D
308B,Premium Z 5-6GR,1387874,1000604,HE GR+SM,228.23,60,77D
309A,Premium Z 4GR,1387878,1000601,HE GR+SM,297.2,60,77D
309B,Premium Z 4GR,1387879,1000604,HE GR+SM,296.95,60,77D
401,Program Z 5-10CT,1387360,1000598,MM 5-10CT,29.92,120,85D
402,Program MB 5-10CT,1387636,1000598,MM 5-10CT,122.24,120,85D
404B,Program Maccles & Cubes 5-10CT,1387363,1000598,MM 5-10CT,89.1,120,84D
404A,Program Maccles & Cubes 5-10CT,1387646,1000598,MM 5-10CT,92.52,120,84D
405,Program Coloured Z 5-10CT,1387359,1000598,MM 5-10CT,5.29,120,85D
406,Program Coloured MB 5-10CT,1387361,1000598,MM 5-10CT,21.34,120,85D
410A,Standard Z 5-10CT,1388628,1000598,MM 5-10CT,179.51,120,84D
410B,Standard Z 5-10CT,1388630,1000598,MM 5-10CT,169.89,120,84D
410C,Standard Z 5-10CT,1388632,1000598,MM 5-10CT,168.92,120,84D
410D,Standard Z 5-10CT,1388634,1000598,MM 5-10CT,160.4,120,84D
411A,Standard MB & Clivage 5-10CT,1388294,1000598,MM 5-10CT,313.6,120,84D
411B,Standard MB & Clivage 5-10CT,1388658,1000598,MM 5-10CT,300.76,120,84D
412A,Standard Cubes 5-10CT,1387694,1000598,MM 5-10CT,275.28,120,84D
412B,Standard Cubes 5-10CT,1387696,1000598,MM 5-10CT,277.28,120,84D
413A,Program Z 2.5-4CT,1388673,1000599,MM +2CT,67.49,90,85D
413B,Program Z 2.5-4CT,1388674,1000599,MM +2CT,172.04,90,85D
413C,Program Z 2.5-4CT,1388675,1000599,MM +2CT,171.62,90,85D
414,Program Coloured Z 2.5-4CT,1387680,1000599,MM +2CT,186.77,90,85D
416A,Standard Z 2.5-4CT,1388638,1000599,MM +2CT,226.7,90,84D
416B,Standard Z 2.5-4CT,1388640,1000599,MM +2CT,222.5,90,84D
416C,Standard Z 2.5-4CT,1388642,1000599,MM +2CT,221.52,90,84D
417,Program MB 2.5-4CT,1388678,1000599,MM +2CT,86.91,90,85D
418A,Program Maccles & Cubes 2.5-4CT,1387688,1000599,MM +2CT,124.66,90,84D
418B,Program Maccles & Cubes 2.5-4CT,1387690,1000599,MM +2CT,122.67,90,84D
419,Program Coloured MB 2.5-4CT,1387682,1000599,MM +2CT,31.25,90,85D
420A,Standard MB & Clivage 2.5-4CT,1388650,1000599,MM +2CT,424.58,90,84D
420B,Standard MB & Clivage 2.5-4CT,1388652,1000599,MM +2CT,422.94,90,84D
420C,Standard MB & Clivage 2.5-4CT,1388654,1000599,MM +2CT,425.92,90,84D
420D,Standard MB & Clivage 2.5-4CT,1388656,1000599,MM +2CT,425.31,90,84D
421A,Standard Cubes 2.5-4CT,1387759,1000599,MM +2CT,307.08,90,84D
421B,Standard Cubes 2.5-4CT,1387760,1000599,MM +2CT,305.62,90,84D
421C,Standard Cubes 2.5-4CT,1387761,1000599,MM +2CT,305.27,90,84D
501A,Program Z 8GR,1387656,1000601,MM GR,186.74,60,77D
501B,Program Z 8GR,1387658,1000604,MM GR,185.52,60,77D
502A,Program Z 5-6GR,1387883,1000601,MM GR,272.34,60,77D
502B,Program Z 5-6GR,1387884,1000604,MM GR,271.96,60,77D
503A,Program Z 4GR,1387880,1000601,MM GR,354.39,60,77D
503B,Program Z 4GR,1387881,1000604,MM GR,354,60,77D
504A,Program Coloured Z 8GR,1387660,1000601,MM GR,294.74,60,77D
504B,Program Coloured Z 8GR,1387662,1000604,MM GR,294.81,60,77D
507,Program Cape Z/MB 8GR,1387698,1000601,MM GR,172.72,60,77D
510,Program MB 8GR,1387654,1000601,MM GR,42.71,60,77D
511A,Program MB 5-6GR,1387891,1000601,MM GR,262.2,60,77D
511B,Program MB 5-6GR,1387892,1000604,MM GR,261.22,60,77D
512A,Program MB 4GR,1387908,1000601,MM GR,450.55,60,77D
512B,Program MB 4GR,1387909,1000604,MM GR,450.78,60,77D
513,Program Cubes 8GR,1387684,1000601,MM GR,194.5,60,78D
514A,Program Cubes 5-6GR,1387899,1000601,MM GR,312.51,60,78D
515A,Program Cubes 4GR,1387904,1000601,MM GR,426.69,60,78D
516,Program Maccles 8GR,1387686,1000601,MM GR,75.15,60,78D
520A,Standard Z 5-6GR,1387918,1000601,MM GR,478.72,60,78D
520B,Standard Z 5-6GR,1387919,1000604,MM GR,476.17,60,78D
521A,Standard Z 4GR,1387924,1000601,MM GR,261.67,60,78D
521B,Standard Z 4GR,1387925,1000604,MM GR,258.17,60,78D
525A,Standard Cubes 8GR,1387818,1000601,MM GR,402.86,60,78D
601A,Program Z 3GR,1386879,1000602,MM SM,309.15,60,79D
601B,Program Z 3GR,1386880,1000605,MM SM,310.21,60,79D
602A,Program Z 2GR+11,1387041,1000602,MM SM,499.15,60,79D
602B,Program Z 2GR+11,1387042,1000605,MM SM,499.41,60,79D
603A,Program Z -11+9,1387610,1000602,MM SM,633.24,60,79D
603B,Program Z -11+9,1387611,1000605,MM SM,633.19,60,79D
604A,Program Z -9+7,1387045,1000602,MM SM,422.36,60,79D
604B,Program Z -9+7,1387046,1000605,MM SM,422.32,60,79D
611A,Program MB 3GR,1387038,1000602,MM SM,352.72,60,79D
612A,Program MB 2GR+11,1387055,1000602,MM SM,582.12,60,79D
612B,Program MB 2GR+11,1387056,1000605,MM SM,579.22,60,79D
613A,Program MB -11+9,1387064,1000602,MM SM,1101.73,60,79D
613B,Program MB -11+9,1387065,1000605,MM SM,1101.82,60,79D
614A,Program MB -9+7,1387048,1000602,MM SM,581.94,60,79D
614B,Program MB -9+7,1387049,1000605,MM SM,581.94,60,79D
617,Program Cubes 3GR,1386878,1000602,MM SM,586.87,60,80D
618A,Program Cubes 2GR+11,1387051,1000602,MM SM,675.88,60,80D
619A,Program Cubes -11+9,1387075,1000602,MM SM,1053.31,60,80D
620A,Program Cubes -9+7,1387061,1000602,MM SM,586.67,60,80D
622A,Standard Z 3GR+7,1387702,1000602,MM SM,1250.26,60,80D
622B,Standard Z 3GR+7,1387703,1000605,MM SM,1250.3,60,80D
624A,Standard MB 3GR,1387067,1000602,MM SM,602.41,60,80D
624B,Standard MB 3GR,1387068,1000605,MM SM,602.43,60,80D
625A,Standard MB 2GR+11,1387613,1000602,MM SM,949.5,60,80D
625B,Standard MB 2GR+11,1387614,1000605,MM SM,949.49,60,80D
626A,Standard MB -11+9,1387620,1000602,MM SM,1133.81,60,80D
626B,Standard MB -11+9,1387621,1000605,MM SM,1133.8,60,80D
627A,Standard MB -9+7,1387606,1000602,MM SM,1325.61,60,80D
627B,Standard MB -9+7,1387607,1000605,MM SM,1325.59,60,80D
704,Workable Cubes & Clivage 5-10CT,1387772,1000603,MM 5-10CT,1145.8,120,81D
705,Workable Cubes & Clivage 2-4CT,1387781,1000603,LE,1002.27,60,81D
706A,Workable Cubes & Clivage 3-6GR,1387795,1000603,LE,2911.12,60,81D
706B,Workable Cubes & Clivage 3-6GR,1387796,1000606,LE,2911.35,60,81D
707A,Workable Cubes & Clivage 2GR+7,1387815,1000603,LE,3442.12,60,81D
709A,Workable White 2-10CT,1388793,1000603,LE,2305.86,60,81D
709B,Workable White 2-10CT,1388795,1000606,LE,5283.58,60,81D
713A,Workable Brown -7+3,1387847,1000603,LE,3163.94,60,81D
714A,Workable Mixed 4GR-10CT,1387933,1000603,LE,1501.52,60,81D
714B,Workable Mixed 4GR-10CT,1387935,1000606,LE,8925.76,60,81D
715A,Workable Mixed 3GR+5,1387867,1000603,LE,2000.05,60,81D
716A,Workable Mixed -3+1,1387762,1000603,LE,500.03,60,81D
811C CRS,Program Z/MB Mixed,1377057,1000600,MM +2CT,123.33,90,83D
811A CRS,Program Z/MB Mixed,1387738,1000600,MM +2CT,187.95,90,83D
811B CRS,Program Z/MB Mixed,1387740,1000600,MM +2CT,171.05,90,83D
850CRS,Z -11+9,1387753,1000600,MM SM,118.5,60,83D
852CRS,COLOURED Z 3GR,1376954,1000600,MM SM,308.86,60,83D
854A CRS,COLOURED Z -11+9,1387729,1000600,MM GR,1104.51,60,83D
854B CRS,COLOURED Z -11+9,1387731,1000600,MM GR,1104.51,60,83D
854C CRS,COLOURED Z -11+9,1387733,1000600,MM GR,1104.73,60,83D
854D CRS,COLOURED Z -11+9,1387735,1000600,MM GR,1105.25,60,83D
855A CRS,COLOURED Z -9+7,1387706,1000600,MM GR,418.06,60,83D
855B CRS,COLOURED Z -9+7,1387708,1000600,MM GR,418.15,60,83D
855C CRS,COLOURED Z -9+7,1387711,1000600,MM GR,418.05,60,83D
855D CRS,COLOURED Z -9+7,1387713,1000600,MM GR,418.09,60,83D
864CRS,FLAT TRIANGLES +2CT,1387719,1000600,MM +2CT,261.43,90,83D
865CRS,FLAT TRIANGLES 5-6GR,1387727,1000600,MM GR,33.76,60,83D
866CRS,FLAT TRIANGLES 4GR,1387725,1000600,MM GR,22.18,60,83D
867CRS,FROSTED Z 3GR,1387715,1000600,MM GR,400.59,60,83D
868CRS,FROSTED Z 2GR+11,1387717,1000600,MM GR,400.01,60,83D
878CRS,COLOURED Z/MB 8GR,1388672,1000600,MM GR,387.28,60,83D
905,PREMIUM HIGH Z 2-4CT,1387743,1000600,HE +2CT,27.57,90,82D
913,PROGRAM HIGH Z 2.5-4CT,1387074,1000600,MM +2CT,61.24,90,82D
914,PROGRAM HIGH MB 2-4CT,1388774,1000600,MM +2CT,46.29,90,82D
915,PROGRAM MEDIUM Z 2.5-4CT,1387072,1000600,MM +2CT,72.56,90,82D
921,COLOURED HIGH Z 2-4CT,1387751,1000600,MM +2CT,30.16,90,82D
924,COLOURED MEDIUM MB 2-4CT,1387749,1000600,MM +2CT,24.85,90,82D
946,PREMIUM FANCY HIGH 8GR,1373694,1000600,HE GR+SM,18.9,60,82D
965,PREMIUM HIGH Z 5-7CT,1387767,1000600,HE +2CT,13.15,90,82D
969,MIXED MACCLES 2-4CT,1387746,1000600,MM +2CT,13.55,90,82D
